,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
85,False,/ksZTspehDCC4PCZN8ci31pFT6yp.jpg,"[28, 36, 18, 10752]",660360,ko,노량: 죽음의 바다,"The Imjin War reaches its seventh year in December of 1598. Admiral Yi Sun-shin learns that the Wa invaders in Joseon are preparing for a swift withdrawal following the deathbed orders of their leader Toyotomi Hideyoshi. Determined to destroy the enemy once and for all, Admiral Yi leads an allied fleet of Joseon and Ming ships to mount a blockade and annihilate the Wa army. However, once Ming commander Chen Lin is bribed into lifting the blockade, Wa lord Shimazu Yoshihiro and his Satsuma army sail to the Wa army’s rescue at Noryang Strait.",246.4,/wFAe7gA513Pi2meI4ECwf6YEKR1.jpg,2023-12-20,Noryang: Deadly Sea,False,6.228,127
86,False,/csGprKcRxt7SDpsrKiwxpgLdEsx.jpg,"[878, 28, 12, 53]",16320,en,Serenity,"When the renegade crew of Serenity agrees to hide a fugitive on their ship, they find themselves in an action-packed battle between the relentless military might of a totalitarian regime who will destroy anything – or anyone – to get the girl back and the bloodthirsty creatures who roam the uncharted areas of space. But... the greatest danger of all may be on their ship.",251.717,/4sqUOaPFoP2W81mq1UYqZqf5WzA.jpg,2005-09-25,Serenity,False,7.378,3387
87,False,/l6trIrFvJbQIvHYpaFCKuwqLUbS.jpg,[99],699280,en,Becoming,"Join former first lady Michelle Obama in an intimate documentary looking at her life, hopes and connection with others.",274.96,/f0vo1yoEVlbpJ0Fkn0FgU7dTrO8.jpg,2020-05-06,Becoming,False,7.4,150
88,False,/yyFc8Iclt2jxPmLztbP617xXllT.jpg,"[35, 10751, 14]",787699,en,Wonka,"Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible.",240.412,/qhb1qOilapbapxWQn9jtRCMwXJF.jpg,2023-12-06,Wonka,False,7.169,3109
89,False,/b6ZJZHUdMEFECvGiDpJjlfUWela.jpg,"[28, 12, 878]",284054,en,Black Panther,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",242.046,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,2018-02-13,Black Panther,False,7.385,21788
90,False,/7kQvHmGyKJv2wSKVfCUux50rd7A.jpg,[878],920342,zh,异兽战场,"The soldier king Qin Yang's fiancée Ye Qin met with an unknown beast and died tragically. Gu Ping invites him to participate in Ye Qin's scientific research before her death. But Gu Ping is using Ye Qin's research results to combine the genes of unknown beasts to create the ""Zero"" dragon creature. The intelligent dragon creature, coupled with the extra-terrestrial beast evolved by devouring,  an imminent city war is coming...",247.238,/nBVYp2xxx2R02n21EGlDky8CgWR.jpg,2021-12-27,Monster's Battlefield,False,6.606,99
91,False,/kK9v1wclQxug6ZUJucD4DTaHgVF.jpg,[18],1366,en,Rocky,An uneducated collector for a Philadelphia loan shark is given a once-in-a-lifetime opportunity to fight against the world heavyweight boxing champion.,230.998,/cqxg1CihGR5ge0i1wYXr4Rdeppu.jpg,1976-11-20,Rocky,False,7.788,7612
92,False,/qekky2LbtT1wtbD5MDgQvjfZQ24.jpg,[28],984324,fr,Le salaire de la peur,"When an explosion at an oil well threatens hundreds of lives, a crack team is called upon to make a deadly desert crossing with nitroglycerine in tow.",235.687,/dIU1oCqyWHSFrfwuB4NKeGaJ9Aw.jpg,2024-03-28,The Wages of Fear,False,6.115,355
93,False,/4HodYYKEIsGOdinkGi2Ucz6X9i0.jpg,"[16, 28, 12, 878]",569094,en,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",217.019,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,2023-05-31,Spider-Man: Across the Spider-Verse,False,8.364,6402
94,False,/4qCqAdHcNKeAHcK8tJ8wNJZa9cx.jpg,"[12, 28, 878]",11,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,230.007,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,1977-05-25,Star Wars,False,8.203,20157
